Article,Morph,Jewish,Person,Number,Tense,Mood,Voice,Gender,Case,Degree,Strength,Inflection,-2form,-2lemma,-2morph,-2person,-2number,-2tense,-2mood,-2voice,-2gender,-2case,-2degree,-2strength,-2inflection,-1form,-1lemma,-1morph,-1person,-1number,-1tense,-1mood,-1voice,-1gender,-1case,-1degree,-1strength,-1inflection,1form,1lemma,1morph,1person,1number,1tense,1mood,1voice,1gender,1case,1degree,1strength,1inflection,2form,2lemma,2morph,2person,2number,2tense,2mood,2voice,2gender,2case,2degree,2strength,2inflection,3form,3lemma,3morph,3person,3number,3tense,3mood,3voice,3gender,3case,3degree,3strength,3inflection,Answer
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,κρημνου,κρημνος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,λιμνην,λιμνη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,απεπνιγη,αποπνιγω,3saip----i,3,s,a,i,p,-,-,-,-,i,2
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,απεκριθη,αποκρινω,3saip----i,3,s,a,i,p,-,-,-,-,i,τηρεισθαι,τηρεω,--pnp----i,-,-,p,n,p,-,-,-,-,i,παυλον,παυλος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,καισαριαν,καισαρεια,-s---fa--i,-,s,-,-,-,f,a,-,-,i,2
τας,-p---fa--i,yes,-,p,-,-,-,f,a,-,-,i,επτα,επτα,---------n,-,-,-,-,-,-,-,-,-,n,βρονται,βροντη,-p---fn--i,-,p,-,-,-,f,n,-,-,i,εαυτων,εαυτου,3p---mg--i,3,p,-,-,-,m,g,-,-,i,φωνας,φωνη,-p---fa--i,-,p,-,-,-,f,a,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,3
τω,-s---od--i,no,-,s,-,-,-,o,d,-,-,i,κροισος,κροισος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,επιμεμφομενος,επιμεμφομαι,-sppmmn--i,-,s,p,p,m,m,n,-,-,i,κυρω,κυρος,-s---md--i,-,s,-,-,-,m,d,-,-,i,ες,εις,---------n,-,-,-,-,-,-,-,-,-,n,τε,τε,---------n,-,-,-,-,-,-,-,-,-,n,2
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,λειτουργον,λειτουργος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,χρειας,χρεια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,μου,εγω,1s---mg--i,1,s,-,-,-,m,g,-,-,i,πεμψαι,πεμπω,--ana----i,-,-,a,n,a,-,-,-,-,i,2
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,η,ο,-s---fn--i,-,s,-,-,-,f,n,-,-,i,αληθεια,αληθεια,-s---fn--i,-,s,-,-,-,f,n,-,-,i,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,τω,ο,-s---od--i,-,s,-,-,-,o,d,-,-,i,2
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,απο,απο,---------n,-,-,-,-,-,-,-,-,-,n,ιδουμαιας,ιδουμαια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,περαν,περαν,---------n,-,-,-,-,-,-,-,-,-,n,2
τοις,-p---od--i,yes,-,p,-,-,-,o,d,-,-,i,υμιν,υμεις,2p---md--i,2,p,-,-,-,m,d,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,ουρανοις,ουρανος,-p---md--i,-,p,-,-,-,m,d,-,-,i,ην,ος,-s---fa--i,-,s,-,-,-,f,a,-,-,i,προηκουσατε,προακουω,2paia----i,2,p,a,i,a,-,-,-,-,i,2
ο,3s---mn--i,yes,3,s,-,-,-,m,n,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ειπεν,λεγω,3saia----i,3,s,a,i,a,-,-,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ειπεν,λεγω,3saia----i,3,s,a,i,a,-,-,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,3
των,-p---mg--i,no,-,p,-,-,-,m,g,-,-,i,αδικιης,αδικια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,προτερων,προτερος,-p---mgp-i,-,p,-,-,-,m,g,p,-,i,ερετριεων,ερετριεες,-p---mg--i,-,p,-,-,-,m,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
